Count,Name,Year,Price
326,Sovereign Rarities,"Scotland, Alexander III Penny, first coinage type VII, Perth Mint, Ion Cokin",£499.00
327,Thomas Numismatics,Louis XV Ecu - aux branches d'olivier - 1731 T Nantes R2,€90.00
328,Sovereign Rarities,* Elizabeth II 2007 proof Sovereign,£536.00
329,Sovereign Rarities,"Chingiz Khan, Silver Dirham.","£1,045.00"
330,Sovereign Rarities,Elizabeth II 1966 Gillick Sovereign MS64,£735.00
331,Sovereign Rarities,Elizabeth II 1959 Gillick Sovereign MS64,£499.00
332,Sovereign Rarities,Elizabeth II 1958 Gillick Sovereign MS65+,£945.00
333,Sovereign Rarities,Elizabeth II 2002 proof Sovereign,£919.00
334,Sovereign Rarities,* Elizabeth II 2015 proof Sovereign JC,£683.00
335,Sovereign Rarities,"George III 1817 Sovereign, first year of issue","£2,363.00"
336,Sovereign Rarities,"Scotland, Alexander III Farthing, second coinage",£788.00
337,Sovereign Rarities,"Scotland, Alexander II (in name of William) Short Cross Penny, Roxburgh, Peris and Adam","£1,838.00"
338,Sovereign Rarities,"Edward IV Half-Angel, second reign, mintmark pierced cross and pellet","£4,148.00"
339,Sovereign Rarities,"John Penny, Short Cross type, Kings Lynn Mint, moneyer Iohan",£730.00
340,Sphinx Numismatics,"414EM22) RARE ZANGIDS OF SYRIA, Al-Salih Isma'il, 569-577 AH / 1174-1181 AD, AR Dirham, 22.5 mm, 2.91 grms, struck at HALAB, in 573 AH, Type of Album 1852 (R); in XF cond. Superb",US$125.00
341,Sovereign Rarities,George V 1927 6-coin silver proof Set with red card case,£998.00
342,Sphinx Numismatics,"189EE23) THE UMAYYAD CALIPHATE, SULAYMAN, 96-99 AH / 715-717 AD, AR DIRHAM (2.58 gm; 27 mm) STRUCK AT THE MINT OF MAHI IN THE YEAR 98 AH ALBUM TYPE # 131; LAVOIX # 392, IN VF COND",US$90.00
343,Pasargad Coins,"SAMANID: Nasr II b. Ahmad, AE fals, Mint of Akhsikath, AH 320, SCARCE!",US$65.00
344,Pasargad Coins,"QARAKHANID: Nasr b. Ali, SCARCE AE fals, Mint of Ferghana, AH 386, Stylish!",US$75.00
345,Jongeling Numismatics & Ancient Art,Passon – Catalogue of the Coins of the Dutch Overseas Territories. 1601-present,€29.95
346,Jongeling Numismatics & Ancient Art,Numismatic Society of Diest – Festschrift in Honour of Dr Ellen Raven,€59.95
347,Pasargad Coins,"PERSIA, SAFAVID: Sultan Husayn, Silver Abbasi, Mint of Isfahan, AH 1132, STYLISH!",US$75.00
348,Forum Ancient Coins,Crusaders Principality of Antioch Tancred Regent 1101 - 1103 & 1104 -1112,US$93.00
349,NB-Numismatics,Islamic Anatolia and Al-Jazirah Zangids Qutb al-Din  Mawdud AE dirhem,US$139.00
350,NB-Numismatics,Islamic Anatolia and Al-Jazirah Artuqids Qutb al-Din II -Ghazi II AE dirhem,US$199.00
351,NB-Numismatics,Islamic Abbasid Governors of Tabaristan anonymous 1/2 drachm,US$89.00
352,Sovereign Rarities,"George I 1723 WCC Shilling, made from silver from the Welsh Copper Company","£2,363.00"
353,Sovereign Rarities,William IV 1835 Sovereign rare date MS62,"£7,875.00"
354,Sovereign Rarities,George IV 1825 Sovereign bare head MS62+,"£6,300.00"
355,Sovereign Rarities,"Scotland, James VI 1594 Thirty-Pence, seventh coinage",£289.00
356,Sovereign Rarities,"Scotland, Alexander III Penny, first coinage type III, Dun Mint, Walter",£998.00
357,Sovereign Rarities,"Scotland, Alexander III Penny, first coinage type VII, Perth Mint, John Cokin",£578.00
358,Sovereign Rarities,"Edward VII 1902 Two-Pounds, currency issue MS61, Coronation year","£2,100.00"
359,Sovereign Rarities,"Victoria 1893 Two-Pounds, old head, MS62","£3,938.00"
360,Sovereign Rarities,"Victoria 1887 Two-Pounds, Golden Jubilee issue, MS62","£2,363.00"
361,Arsantiqva,Italian Republic 5 LIRE Uva con data piccola 1946 MINT STATE (63/70) VERY RARE / coins for sale,"€2,100.00"
362,NB-Numismatics,Mexico 25 pesos 1968- Summer olympics 1968,US$35.00
363,NB-Numismatics,Spain Philip IV  VIII maravedis 1624,US$35.00
364,NB-Numismatics,France 10 francs 1965 - Hercules.,US$45.00
365,NB-Numismatics,France 10 francs 1972- Hercules,US$45.00
366,NB-Numismatics,St.Helena 25 pence 1973- Tercentenary 1673-1973,US$40.00
367,Midwest Numismatics,Haiti; 2 Centimes AN26 - 1829,US$4.99
368,Midwest Numismatics,Haiti; Bronze 2 Centimes 1894-A,US$8.00
369,Midwest Numismatics,Haiti; Centime 1895-A,US$10.00
370,Midwest Numismatics,Haiti - Empire; Copper Deux (2) Centimes 1850,US$25.00
371,Midwest Numismatics,Austro-Hungarian Empire; Kreuzer 1816-A  AU,US$25.00
372,Midwest Numismatics,Hungary; Silver 2 Korona 1912 KB,US$19.00
373,Midwest Numismatics,Germany; Silver 5 Reichsmark 1936-A,US$25.00
374,Midwest Numismatics,Germany; Silver 5 Reichsmark 1936-A,US$17.00
375,Midwest Numismatics,Germany; Silver 5 Reichsmark 1936-A,US$25.00
376,London Ancient Coins,DALMATIA Scutari (Skadar) Autonomous issues AE Follaro VERY RARE,£350.00
377,London Ancient Coins,"BALKANS, Serbia. Civic issues . Ulcinj (Dulcigno). 14th century. Æ Folar. Struck in the name of Tsar Stefan Uroš V, 1355-1371.",£100.00
378,London Ancient Coins,"BALKANS, Serbia. Civic issues . Ulcinj (Dulcigno). 14th century. Æ Folar. Struck in the name of Tsar Stefan Uroš V, 1355-1371.",£100.00
379,Coins to medals,1799 MoFM Mexico 8 Real - Carolus IIII - VF - Silver,US$183.12
380,Charles Davis,Sotheby's: Montagu Collection of British Medals,US$200.00
381,Pashiz Coins Ltd,"ABBASID: Temp al-Rashid, 786-809, AR dirham, Madinat al-Salam, AH171",£15.00
382,Pashiz Coins Ltd,"ABBASID: Temp al-Rashid, 786-809, AR dirham, Madinat al-Salam, AH170",£15.00
383,Pashiz Coins Ltd,"Abbasid: Temp Al-Mahdi,(AD 775-785). AR Dirham, Sa’id bin Da\’laj. Year 126.",£40.00
384,Pashiz Coins Ltd,"Abbasids: Temp of al-Rashid (AD 754-758) AR Dirham. Muqatil. Tabaristan mint, Year139",£75.00
385,Pashiz Coins Ltd,"Abbasid: Temp. Al-Rashid, (AD 786-809). Dirham Hani. Tabaristan, Year 137",£80.00
386,Germania Inferior Numismatics (GIN),"SILVER commemorative medal 1815 (issued 1816), awardmedal Amsterdam Chausseurs a Cheval during the 100 Days 1815 & battle of Waterloo",€795.00
387,NB-Numismatics,Italy Messina Manfredi BI denaro,US$40.00
